"product_id","short_description","full_description","meta_title","meta_keywords","full_image_description","full_text_description"
37,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/068734554_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/068734554_1_60502a0e.jpg""]",
38,"달콤하고 맛있는 청도감은 씨가 없어 먹기 편하며, 크기는 작지만 간식용으로 좋습니다. 품질과 가격 모두 만족스러우며, 냉동 보관 시 더욱 맛있습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/071284505_0_3ca97565.jpg""]",
39,"크고 달콤한 포도는 신선하고 맛있습니다. 빛깔이 진하며, 개별 포장으로 신선도가 유지됩니다. 씨가 있어도 몰랑한 식감이 좋습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/071284528_0_b685847a.jpg""]",
40,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069373796_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069373796_1_8673f9e7.jpg""]",
41,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/053068645_0_8673f9e7.jpg""]",
42,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/120131555_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/120131555_1_6980e6ac.jpg""]",
43,~12/17까지 배송가능,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069455066_0_ca29236e.jpg""]",
44,"신선하고 달콤한 샤인머스켓은 크고 탱탱한 알이 특징입니다. 맛과 품질이 우수하며, 아이들도 특히 좋아합니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/107811701_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/107811701_1_48349fdb.jpg""]",
45,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/051589400_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/051589400_1_b42cf734.jpg""]",
46,~12/17까지 배송가능,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/111546575_0_68b3adcc.jpg""]",
47,"당도가 높고 신선한 샤인머스켓으로, 자주 구매하게 되는 인기 상품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/149845651_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/149845651_1_b42cf734.jpg""]",
48,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069707096_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069707096_1_d9d192a3.jpg""]",
49,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070021427_0_1849a62a.jpg""]",
50,"감숙왕 바나나는 신선하고 달콤한 맛으로 인기가 높습니다. 크기가 크고 과육이 단단하며, 특히 가성비가 좋아 자주 구매하는 제품입니다. 또한 배송이 빠르고 품질이 우수하여 고객 만족도가 높습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069624206_0_b4399671.jpg""]",
51,"감숙왕 바나나는 신선하고 달콤하며 크기도 큽니다. 소량 포장으로 편리하고, 적당히 익어 맛있습니다. 특히 부드러운 식감과 풍부한 향이 특징입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/149354886_0_46ec7f9a.jpg""]",
52,바나나가 신선하고 달콤하며 크기도 큽니다. 특히 맛과 품질이 우수하여 고객 만족도가 높습니다. 또한 간식이나 주스용으로 활용도가 높아 자주 구매하는 제품입니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070784036_0_a4add4ff.jpg""]",
53,"달고 맛있는 바나나로, 크기는 작지만 개수가 많고 적당히 익어 있습니다. 고선지대에서 재배된 프리미엄 제품으로 당도가 높고 맛이 뛰어납니다. 특히 신선하고 싱싱하며, 사이즈가 적당해 먹기 편리합니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125257329_0_0c1ab71e.jpg""]",BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { }
54,"파인애플이 달콤하고 신선하며 편리합니다. 손질되어 있어 먹기 쉽고, 당도가 높아 맛있습니다. 가격도 저렴해 자주 구매하는 인기 상품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069086646_0_a6ab7b15.jpg""]",
55,"파인애플의 크기와 신선도가 뛰어나며, 달콤하고 맛있습니다. 특히 후숙 후 더욱 달콤해지며, 가성비가 좋고 크기도 커서 만족도가 높습니다.",,,,"",.
56,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121002315_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121002315_1_88c8d00a.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121002315_2_76618b04.jpg""]",
57,"크고 싱싱한 레몬이 신선하고 맛있습니다. 크기가 크고 즙이 많아 다양한 요리에 활용도가 높습니다. 낱개 구매가 가능해 편리하며, 빠른 배송으로 만족도가 높습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125781923_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125781923_1_23a14c89.jpg""]",
58,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125134763_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125134763_1_3b8a1099.jpg""]",
59,오렌지가 신선하고 달콤새콤하며 과즙이 풍부합니다. 크기는 작지만 당도가 높고 맛있어 자주 구매하는 제품입니다. 가격도 저렴해 만족도가 높습니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/127429008_0_3f3761b3.jpg""]",
60,"빠른 배송과 맛있는 제품으로 고객 만족도가 높습니다. 특히 달콤하고 독특한 맛이 인기이며, 가격도 저렴해 자주 구매하는 제품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069724622_0_b00ff20d.jpg""]",
61,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/111411523_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/111411523_1_3779a313.jpg""]",
62,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121343907_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121343907_1_7d4a0bc6.jpg""]",
63,"3개 구매시 9,990원",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121343867_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121343867_1_4748ca15.jpg""]",BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { } BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { } BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { } BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { } BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { } BLOCKQUOTE { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } P { MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px } v\:* { BEHAVIOR: url(#default#VML) } o\:* { BEHAVIOR: url(#default#VML) }.shape { BEHAVIOR: url(#default#VML) } x\:* { POSITION: relative; VISIBILITY: hidden } TD { WORD-BREAK: break-all } BODY { WORD-BREAK: break-all } UL { } OL { }
64,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/054133296_0_600f5aba.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/054133296_1_c63a1b65.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/054133296_2_3206f920.jpg""]",
65,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/112427009_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/112427009_1_e4cb3c55.jpg""]",
66,비타민C가 풍부하고 맛있는 키위는 크기도 적당하며 새콤달콤한 맛이 일품입니다. 그린키위도 맛있어 자주 구매하는 제품입니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/115128531_0_1f90c572.jpg""]",
67,"크고 맛있는 키위로, 후숙 시 더욱 달고 부드러워집니다. 비타민이 풍부하며 건강한 식감을 제공합니다. 신선하고 편리한 구매가 가능합니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/071296537_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/071296537_1_e4cb3c55.jpg""]",
68,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/127736791_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/127736791_1_5359ad45.jpg""]",
69,"2개 구매시 9,990원",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/127789566_0_53a942f5.jpg""]",
70,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/071228458_0_ad604712.jpg""]",
71,"맛있고 신선한 아보카도로, 크기는 다양하지만 품질이 좋습니다. 할인 행사로 저렴하게 구매할 수 있어 자주 애용하는 제품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/064766827_0_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/064766827_1_475d2619.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/064766827_2_68870e36.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/064766827_3_c3b67a18.jpg""]",
72,~12/17까지 배송가능,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/126508752_0_55cf8df8.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/126508752_1_53a942f5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/126508752_2_a1335505.jpg""]",
73,홈플러스의 과일은 맛있고 품질이 좋습니다. 특히 후숙 과정을 거치면 더욱 맛있게 즐길 수 있습니다.,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070106564_0_76fcbddd.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070106564_1_a180bde2.jpg""]",
74,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/127701665_0_76fcbddd.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/127701665_1_a180bde2.jpg""]",
75,"3개 구매시 9,990원",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/069554892_0_1a8b602c.jpg""]",
76,"2개 구매시 9,990원",,,,"",
77,"돌 컷파인애플은 신선하고 달콤한 맛으로 인기가 높습니다. 간편하게 먹을 수 있어 편리하며, 아이들 간식으로도 좋습니다. 또한 과즙이 풍부하고 향이 진해 만족도가 높습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/111001911_0_9f71f516.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/111001911_1_ebb355a1.jpg""]",
78,,,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/121872235_0_313f42a3.jpg""]",
79,"맛있고 만족스러운 제품으로, 많은 고객들이 자주 즐기는 인기 상품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/070193464_0_8210ae0c.jpg""]",
80,"빠른 배송과 편리한 포장으로 인기가 높습니다. 달콤하고 말랑한 과육이 특징이며, 적당한 당도로 후식으로 좋습니다. 휴대성이 뛰어나 아이들 간식으로도 인기가 많습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/128637745_0_c7a192b5.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/128637745_1_ad50f523.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/128637745_2_ed6cdaf8.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/128637745_3_aaf66670.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/128637745_4_20a55380.jpg""]",
81,"맛있고 편리한 과일 조림으로 고객들에게 인기가 많습니다. 개별 포장되어 있어 먹기 편하고, 그릭요거트와 함께 먹기에도 좋습니다. 냉장 보관해도 맛이 유지되어 자주 구매하는 제품입니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/122489831_0_ad52212b.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/122489831_1_313f42a3.jpg""]",
82,"신선하고 달콤한 파인애플이 편리하게 잘라져 있어 좋습니다. 탕수육 소스나 월남쌈에 활용하기 좋으며, 양도 많아 만족스럽습니다.",,,,"[""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125652057_0_ac9b8206.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125652057_1_91152baf.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125652057_2_8db604e7.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125652057_3_7c4117ee.jpg"", ""https://self-json-backup.s3.ap-northeast-2.amazonaws.com/homeplus/product_detail/125652057_4_cfeb1f04.jpg""]",
